Timestamp,Ticker,Price,RSI,Crossover
Mon Mar 23 15:09:50 2026,^GSPC,6581,37.019,BEARISH
Mon Mar 23 15:09:50 2026,^RUT,2501.13,43.1141,BEARISH
Mon Mar 23 15:09:50 2026,^IXIC,21946.8,39.8662,BEARISH
Mon Mar 23 15:09:50 2026,NVDA,175.68,41.8149,BEARISH
Mon Mar 23 15:09:51 2026,IBM,248.505,44.8911,BULLISH
Mon Mar 23 15:21:08 2026,^GSPC,6581,37.019,BEARISH
Mon Mar 23 15:21:08 2026,^RUT,2494.23,42.1885,BEARISH
Mon Mar 23 15:21:08 2026,^IXIC,21946.8,39.8662,BEARISH
Mon Mar 23 15:21:08 2026,NVDA,175.64,41.7617,BEARISH
Mon Mar 23 15:21:09 2026,IBM,248.44,44.8412,BULLISH
